ttle,year,year,certificate,duration,genre,genre 2,genre 3,stars,votes,description,rating
You,2018,2018,TVMA,45 mn,Crme, Drama, Romance,"['Penn Badgley, ', 'Vctora Pedrett, ', 'Ambyr Chlders, ', 'Elzabeth Lal']","234,218","Follows Vince, a desperate former popstar who dreams of making a comeback. An impromptu jam session with autistic young drummer Stevie sparks an unexpected friendship between the two misunderstood musicians.",6.6
Look Both Ways,2022,2022,TV14,110 mn,Comedy, Drama, Romance,"['Wanur Kahu', '| ', '    Stars:', 'Ll Renhart, ', 'Danny Ramrez, ', 'Asha Dee, ', 'Jaden Tollver']","14,313","A seventeenyearold aristocrat falls in love with a kind but poor artist aboard the luxurious, illfated R.M.S. Titanic.",7.9
365 Days,2020,2020,TVMA,114 mn,Drama, Romance,,"['Barbara Balowas, ', 'Tomasz Mandes', '| ', '    Stars:', 'AnnaMara Seklucka, ', 'Mchele Morrone, ', 'Bronslaw Wroclawsk, ', 'Otar Saraldze']","89,071","Wealth, lust, and betrayal set against the backdrop of Regencyera England, seen through the eyes of the powerful Bridgerton family.",7.3
 Used to Be Famous,2022,2022,TV14,104 mn,Comedy, Drama, Musc,"['Edde Sternberg', '| ', '    Stars:', 'Ed Skren, ', 'Eleanor Matsuura, ', 'Eon Macken, ', 'Leo Long']","2,633",A modern update finds the famous sleuth and his doctor partner solving crime in 21stcentury London.,9.1
Ttanc,1997,1997,PG13,194 mn,Drama, Romance,,"['James Cameron', '| ', '    Stars:', 'Leonardo DCapro, ', 'Kate Wnslet, ', 'Blly Zane, ', 'Kathy Bates']","1,158,746","He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.",8.7
Brdgerton,2020,2020,TVMA,60 mn,Drama, Hstory, Romance,"['Ncola Coughlan, ', 'Luke Thompson, ', 'Jonathan Baley, ', 'Besse Carter']","133,119","After a bad breakup, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her  most of the time.",7.7
Sherlock,2010,20102017,TV14,88 mn,Crme, Drama, Mystery,"['Benedct Cumberbatch, ', 'Martn Freeman, ', 'Una Stubbs, ', 'Rupert Graves']","913,816","In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.",8.5
Dexter,2006,20062013,TVMA,53 mn,Crme, Drama, Mystery,"['Mchael C. Hall, ', 'Jennfer Carpenter, ', 'Davd Zayas, ', 'James Remar']","720,792","In spite of their many differences, Cassie, a struggling singersongwriter, and Luke, a troubled Marine, agree to marry solely for military benefits. But when tragedy strikes, the line between real and pretend begins to blur.",6.7
New Grl,2011,20112018,TV14,22 mn,Comedy, Romance,,"['Zooey Deschanel, ', 'Jake Johnson, ', 'Max Greenfeld, ', 'Hannah Smone']","221,781","An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",7.8
The Expanse,2015,20152022,TV14,60 mn,Drama, Mystery, ScF,"['Steven Strat, ', 'Domnque Tpper, ', 'Wes Chatham, ', 'Shohreh Aghdashloo']","151,611","Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.",8.1
Purple Hearts,2022,2022,TV14,122 mn,Drama, Musc, Romance,"['Elzabeth Allen Rosenbaum', '| ', '    Stars:', 'Sofa Carson, ', 'Ncholas Galtzne, ', 'Chosen Jacobs, ', 'John Harlan Km']","32,797",A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,8.7
The Gentlemen,2019,2019,R,113 mn,Acton, Comedy, Crme,"['Guy Rtche', '| ', '    Stars:', 'Matthew McConaughey, ', 'Charle Hunnam, ', 'Mchelle Dockery, ', 'Jeremy Strong']","331,508","About an autistic 27yearold lawyer. Due to her high IQ of 164, impressive memory, and creative thought process, the brilliant Woo Young Woo graduated at the top of her class from a prestigious law school.",8.9
The Good Doctor,2017,2017,TV14,41 mn,Drama,,,"['Fredde Hghmore, ', 'Hll Harper, ', 'Rchard Schff, ', 'Chrstna Chang']","92,641","A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas.",7.5
Downton Abbey,2010,20102015,TVPG,58 mn,Drama, Romance,,"['Hugh Bonnevlle, ', 'Phylls Logan, ', 'Elzabeth McGovern, ', 'Brendan Coyle']","204,875","Set almost 100 years after Captain Kirk's 5year mission, a new generation of Starfleet officers set off in the U.S.S. EnterpriseD on its own mission to go where no one has gone before.",8.7
Extraordnary Attorney Woo,2022,2022,TV14,75 mn,Drama,,,"['Park Eunbn, ', 'Kang Taeoh, ', 'Kang Kyoung, ', 'Jeon Baesoo']","9,538","BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",8.8
Smallvlle,2001,20012017,TVPG,60 mn,Acton, Adventure, Drama,"['Tom Wellng, ', 'Mchael Rosenbaum, ', 'Allson Mack, ', 'Krstn Kreuk']","127,295","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",8.4
Star Trek: The Next Generaton,1987,19871994,TVPG,44 mn,Acton, Adventure, ScF,"['Patrck Stewart, ', 'Brent Spner, ', 'Jonathan Frakes, ', 'LeVar Burton']","119,655",An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history  stealing 2.4 billion euros from the Royal Mint of Spain.,8.2
BoJack Horseman,2014,20142020,TVMA,25 mn,Anmaton, Comedy, Drama,"['Wll Arnett, ', 'Amy Sedars, ', 'Alson Bre, ', 'Aaron Paul']","152,649","Convicted of a decade old crime of transporting drug money to an exgirlfriend, normally lawabiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how lifechanging prison can really be.",8.1
"Love, Death & Robots",2019,2019,TVMA,15 mn,Anmaton, Short, Acton,"['Fred Tatascore, ', 'Scott Whyte, ', 'Nolan North, ', 'Noshr Dalal']","165,153",A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,8.2
Money Hest,2017,20172021,TVMA,70 mn,Acton, Crme, Drama,"['Úrsula Corberó, ', 'Álvaro Morte, ', 'tzar tuño, ', 'Pedro Alonso']","469,640","Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.",8.3
Orange s the New Black,2013,20132019,TVMA,59 mn,Comedy, Crme, Drama,"['Taylor Schllng, ', 'Danelle Brooks, ', 'Taryn Mannng, ', 'Emma Myles']","300,354","New money means no mercy as Mike Prince takes the Axe Capital throne. Chuck Rhoades is convinced no one should have that much wealth  or power. As all the players seek out new alliances, only one thing's for certain  wealth means war.",8.4
Jurassc Park,1993,1993,PG13,127 mn,Acton, Adventure, ScF,"['Steven Spelberg', '| ', '    Stars:', 'Sam Nell, ', 'Laura Dern, ', 'Jeff Goldblum, ', 'Rchard Attenborough']","978,402",A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,7.7
Prson Break,2005,20052017,TV14,44 mn,Acton, Crme, Drama,"['Domnc Purcell, ', 'Wentworth Mller, ', 'Amaury Nolasco, ', 'Robert Knepper']","529,304","Set 97 years after a nuclear war destroyed civilization, when a spaceship housing humanity's lone survivors sends 100 juvenile delinquents back to Earth, hoping to repopulate the planet.",7.6
Bllons,2016,2016,TVMA,60 mn,Drama,,,"['Paul Gamatt, ', 'Daman Lews, ', 'Magge Sff, ', 'Davd Costable']","93,451","When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",8.1
Once Upon a Tme,2011,20112018,TVPG,60 mn,Adventure, Fantasy, Romance,"['Gnnfer Goodwn, ', 'Jennfer Morrson, ', 'Lana Parrlla, ', 'Robert Carlyle']","223,549","In late September 1975, a renowned Catholic school in Rome for sheltered, uppermiddleclass boys is attacked in what became known as the Circeo Massacre. The film examines what triggered the violence.",5.8
Ttans,2018,2018,TVMA,45 mn,Acton, Adventure, Crme,"['Brenton Thwates, ', 'Anna Dop, ', 'Ryan Potter, ', 'Teagan Croft']","98,315","Follows the misadventures of four irreverent gradeschoolers in the quiet, dysfunctional town of South Park, Colorado.",8.7
The 100,2014,20142020,TV14,43 mn,Drama, Mystery, ScF,"['Elza Taylor, ', 'Bob Morley, ', 'Mare Avgeropoulos, ', 'saah Washngton']","248,827","The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",8.5
Jaws,1975,1975,PG,124 mn,Adventure, Thrller,,"['Steven Spelberg', '| ', '    Stars:', 'Roy Scheder, ', 'Robert Shaw, ', 'Rchard Dreyfuss, ', 'Lorrane Gary']","600,404","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",6.9
The Catholc School,2021,2021,TVMA,106 mn,Drama,,,"['Stefano Mordn', '| ', '    Stars:', 'Benedetta Porcarol, ', 'Gulo Pranno, ', 'Emanuele Mara D Stefano, ', 'Gulo Fochett']","1,536","A young woman returns to her hometown to help save her sister's failing inn, where she contends with memories and faces from her past.",7.5
South Park,1997,1997,TV14,22 mn,Anmaton, Comedy,,"['Trey Parker, ', 'Matt Stone, ', 'saac Hayes, ', 'Mona Marshall']","366,394","A family is attacked by demons and only two members survive  Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",8.7
Spartacus,2010,20102013,TVMA,55 mn,Acton, Adventure, Bography,"['Andy Whtfeld, ', 'Lucy Lawless, ', 'Manu Bennett, ', 'Danel Feuerregel']","241,105","Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.",8.6
Clueless,1995,1995,PG13,97 mn,Comedy, Romance,,"['Amy Heckerlng', '| ', '    Stars:', 'Alca Slverstone, ', 'Stacey Dash, ', 'Brttany Murphy, ', 'Paul Rudd']","216,233","Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend.",7.4
Chesapeake Shores,2016,20162022,TVPG,42 mn,Drama, Famly,,"['Meghan Ory, ', 'Barbara Nven, ', 'Lac J Maley, ', 'Emle Ullerup']","7,676","Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.",8.6
Demon Slayer: Kmetsu no Yaba,2019,2019,TVMA,24 mn,Anmaton, Acton, Adventure,"['Natsuk Hanae, ', 'Zach Agular, ', 'Abby Trott, ', 'Yoshtsugu Matsuoka']","97,968","Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters.",7.1
The Queen's Gambt,2020,2020,TVMA,60 mn,Drama,,,"['Anya TaylorJoy, ', 'Chloe Prre, ', 'Bll Camp, ', 'Marcn Dorocnsk']","432,644","Unravel the mystery of a city in middle U.S.A. that imprisons everyone who enters. As the residents struggle to maintain a sense of normalcy and seek a way out, they must also survive the threats of the surrounding forest.",7.6
Pretty Lttle Lars,2010,20102017,TV14,44 mn,Drama, Mystery, Romance,"['Troan Bellsaro, ', 'Ashley Benson, ', 'Lucy Hale, ', 'Shay Mtchell']","166,548","In the near future, convicts are offered the chance to volunteer as medical subjects to shorten their sentence. One such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions.",5.4
Mndhunter,2017,20172019,TVMA,60 mn,Crme, Drama, Mystery,"['Jonathan Groff, ', 'Holt McCallany, ', 'Anna Torv, ', 'Hannah Gross']","281,506",Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas.,7.7
"Murder, She Wrote",1984,19841996,TVPG,50 mn,Crme, Drama, Mystery,"['Angela Lansbury, ', 'Wllam Wndom, ', 'Ron Masak, ', 'Lous Herthum']","24,323","A skeptical clinical psychologist joins a priestintraining and a blue collar contractor as they investigate supposed abnormal events, including, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural's at work.",7.7
From,2022,2022,TVMA,52 mn,Drama, Horror, Mystery,"['Scott McCord, ', 'Harold Perrneau, ', 'Catalna Sandno Moreno, ', 'Eon Baley']","18,826",An iconoclastic idealist runs his law practice out of the back of his Lincoln Town Car in this series based on Michael Connelly's bestselling novels.,7.7
Spderhead,2022,2022,R,106 mn,Acton, Crme, Drama,"['Joseph Kosnsk', '| ', '    Stars:', 'Chrs Hemsworth, ', 'Mles Teller, ', 'Jurnee Smollett, ', 'Mark Paguo']","52,102","Levelheaded son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",8.7
CS: Crme Scene nvestgaton,2000,20002015,TV14,60 mn,Crme, Drama, Mystery,"['Laurence Fshburne, ', 'Marg Helgenberger, ', 'George Eads, ', 'Erc Szmanda']","83,833","Mo Najjar who straddles the line between two cultures, three languages and ""a ton of bullshit."" The fictional Mo is a Palestinian refugee living one step away from asylum on the path to U.S. citizenship.",7.6
Evl,2019,2019,TV14,42 mn,Crme, Drama, Horror,"['Katja Herbers, ', 'Mke Colter, ', 'Aasf Mandv, ', 'Mchael Emerson']","26,248","A journalist with a lot to prove investigates the case of Anna Delvey, the Instagramlegendary German heiress who stole the hearts of New York's social scene  and stole their money as well.",6.8
The Lncoln Lawyer,2022,2022,TVMA,60 mn,Crme, Drama, Mystery,"['Manuel GarcaRulfo, ', 'Neve Campbell, ', 'Beck Newton, ', 'Angus Sampson']","35,356","A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",8.8
Arrested Development,2003,20032019,TV14,22 mn,Comedy,,,"['Jason Bateman, ', 'Mchael Cera, ', 'Porta de Ross, ', 'Wll Arnett']","302,834",Anthology series that examines how and why ordinary people commit brutal crimes.,7.9
Heartland,2007,2007,TVPG,45 mn,Drama, Famly,,"['Amber Marshall, ', 'Shaun Johnston, ', 'Mchelle Morgan, ', 'Chrs Potter']","16,702",A bipolar CIA operative becomes convinced a prisoner of war has been turned by alQaeda and is planning to carry out a terrorist attack on American soil.,8.3
Mo,2022,2022,TVMA,30 mn,Comedy, Drama,,"['Mohammed Amer, ', 'Teresa Ruz, ', 'Omar Elba, ', 'Farah Bseso']","5,261","Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",8.6
nventng Anna,2022,2022,TVMA,65 mn,Drama,,,"['Anna Chlumsky, ', 'Jula Garner, ', 'Aran Moayed, ', 'Kate Lowes']","65,185","The trials and tribulations of Dr. Martin Ellingham, who moves from London to the picturesque village of Portwenn in Cornwall.",8.4
t,2017,2017,R,135 mn,Horror,,,"['Andy Muschett', '| ', '    Stars:', 'Bll Skarsgård, ', 'Jaeden Martell, ', 'Fnn Wolfhard, ', 'Sopha Llls']","537,240","When Steve McGarrett returns home to Oahu to find his father's killer, the Governor offers him the chance to run his own task force: Five0.",7.4
Narcos,2015,20152017,TVMA,49 mn,Bography, Crme, Drama,"['Pedro Pascal, ', 'Wagner Moura, ', 'Boyd Holbrook, ', 'Alberto Ammann']","416,307","In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets.",8.4
The Snner,2017,20172021,TVMA,45 mn,Crme, Drama, Mystery,"['Bll Pullman, ', 'Jessca Hecht, ', 'Dohn Norwood, ', 'Adam LeFevre']","120,241",Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues and jealousy while a tenacious Nacho works to push them apart.,2.7
Homeland,2011,20112020,TVMA,55 mn,Crme, Drama, Mystery,"['Clare Danes, ', 'Mandy Patnkn, ', 'Daman Lews, ', 'Rupert Frend']","339,482",Two lowlevel astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,7.2
The Hauntng of Hll House,2018,2018,TVMA,572 mn,Drama, Horror, Mystery,"['Mchel Husman, ', 'Carla Gugno, ', 'Henry Thomas, ', 'Elzabeth Reaser']","237,198","In the 1890s, William Murdoch uses radical forensic techniques for the time, including fingerprinting and trace evidence, to solve some of the city's most gruesome murders.",8.2
